育碧家的《彩虹六号:围攻》（Tom Clancys Rainbow Six Siege）给玩家送圣诞礼物了。即日起到2019年1月1日，登陆游戏的玩家将会获得礼包，包含一个免费的dlc干员若是玩家已经拥有全部干员，则可获赠25000点声望。但是目前这份礼物出了点小问题，拥有全部干员的玩家无法获赠25000声望，官方已表示会尽快修复这个bug	未
育碧将发布孤岛惊魂系列新作《圣歌》TGA预告将专注故事和角色3DM晚报	未
肺癌每年新发病例78万 专家：发现率在提升死亡率在下降	未
肾友必备手册，转给需要的人！	未
肾性贫血创新药率先在华获批，尚未在任何国家上市	未
肿瘤患者可享个性化治疗	未
肿瘤放射生物与多模态诊疗专业委员会第二届年会暨放射治疗新进展系列培训班在京召开	未
「胃炎的用药和养护」，我们直播给你听	未
胃里大结石 喝喝可乐居然治好了	未
胆大 净峰老司机开了20年的车，竟是98年买的假证/肖厝海域水质已符合养殖标准	未
胆大！北海一货车司机搭载2岁婴儿逆行冲卡！	未
胆子够大！莱阳高格庄萝卜节开幕式选在寿光市	未
胆子越来越大，自虐越来越过私享世界旅行灵感季佛罗里达旅行 这次去玩tree trek，挑战第三段的时候，我是真的怂了。记得东野圭吾说过：放弃不难，但坚持一定很酷。 可我，是真的因为没有退路了。硬着头皮跳下的时候，说了一句：我真的很怕。（前几天还说，最近很自虐。然后发现，自虐还升级了，在第三段一个体验中，要跳下去的瞬间，感觉像蹦极前那样。）奥兰多树林徒步探险公园（OrlandoTree Trek Adventure Park）距离凯西米华特迪士尼世界度假村就几分钟的车程。里面有97场树木游	未
背上羽绒服做商场里回头率最高的仔	未
背单词很痛苦清华学霸11招教你高效记单词！	未
《背影》《荷塘月色》实景重现 扬州朱自清公园开园	未
背景图了解一下	未
背景图戳个赞 三天内你会收到一个好消息	未
背景圖戳个赞 三天内你会收到一个好消息	未
背着母亲打工15年 百善孝为先，真汉子！祝福他找工作时可以顺利一点。每个人都应该好好赡养自己的父母！	未
“背篓检察官”成长记：一步一个泥脚印	未
背身接球转面框进攻，脚步的移动在这其中起到了非常重要的作用，9个非常厉害的脚步练习	未
胎动，可以说是生命的最初律动了	未
胎盘“类器官”可长期稳定培养：研究人体发育有了简化模型	未
胖东来万达新田360广场许昌人最喜欢逛的地方是哪里	未
胖东来首家社区超市开业！	未
胖友们周五啦！评 论点 赞上一条微博：微博正文，今晚手动在评论揪三位胖友，一人66元请喝奶茶哟，大家冲鸭（这条抽完会删哈）	未
胖友们，周五啦，评 论点 赞原博，今晚手动在评论里揪两位胖友请吃同款新品烧仙草	未
胖友们，天冷了需要炸鸡来御寒咯！评 论点 赞上一条微博，戳这里：微博正文，今晚手动在那条评论里揪2位胖友，送出图片中的一人过瘾炸鸡桶（可折现），大噶冲鸭这条开完浆会删，原博评论里会公布中浆名单	未
胖友们，评 论点 赞原博，今晚手动在评论里揪两位胖友，请吃同款热辣玉米片脆皮鸡！！一人一桶吃到爽歪歪哟	未
胖哥撩新车 别克GL8，新增两款可满足国六排放标准车型，售价区间为25.29-27.29万元。新车在外观内饰部分相比现款车型无明显变化，搭载2.0T SIDI直喷涡轮增压发动机，最大功率260马力，最大扭矩350牛米匹配6速DSS智能启停变速箱。胖点评：神车这个称呼，快从大众车上转移到这个车上了吧，还是说， ...全文	未
胖哥撩新车 新款奥迪Q7，售价区间为69.98-98.48万元原40 TFSI舒适型，车型名称更改为45 TFSI舒适型原40 TFSI S Line运动型名字更改为45 TFSI S Line运动型原45 TFSI升级为55 TFSI车型，同时全部配备第三排座椅动力系统是2.0T252马力370牛米，和3.0L机械增压333马力，440牛米，匹配8速自 ...全文	未
胖哥撩新车 新款奥迪TT Roadster二十周年纪念版，基于现款奥迪TT Roadster打造，限量999台新车将搭载2.0T发动机，推出两款不同动力输出的车型，其中40 TFSI车型的最大功率为197匹，而45 TFSI车型为245马力，匹配7速DSG变速箱胖点评：已经不是新车了，因为以后不会再有两门的TT了TT以后就只有 ...全文	未
胖哥撩新车 蔚来ES6，定位纯电动5座中型SUV新车基本沿用了ES8车型的设计风格，细节上有所差别标配全铝车身双电机四驱动力系统，0-100km/h加速时间将低于5秒（图片来自谍报家）胖点评：现在人们更关心的是，续航	未
胖哥撩新车 雪佛兰探际者，定位为中大型SUV。长为5189mm，轴距3071mm。将搭载2.0T涡轮增压与3.6L自然吸气两款发动机，最大功率分别为192kW和228kW，峰值扭矩分别为400Nm和360Nm。匹配9速手自一体变速箱，还将搭载Twin clutch智能全路况四驱系统。胖点评：换壳的昂科雷。另外，2.0T和3.6自吸， ...全文	未
胖哥汽车频道 2018年11月汽车销量排行出炉：轿车前十依次为轩逸新朗逸捷达桑塔纳卡罗拉速腾新英朗新宝来科沃兹思域。SUV销量排名前十依次为哈弗H6途观宝骏510奇骏本田CR-V博越传祺GS4长安CS55本田XR-V荣威RX5。MPV销量排名前十依次为五菱宏光宝骏360别克GL8宋MAX宝骏730欧诺瑞风风行别克GL6艾力绅。	未
胖哥汽车频道 wecar说新车 下一代奥迪S3，内饰变化好大啊	未
胖哥汽车频道wecar说新车 北汽绅宝智道上市，售价为7.9912.29万元，主打AI卖点，全系标配1.5T发动机，匹配6MT和CVT变速箱。发布会一直强调大格局(_)。新车和之前的绅宝智行一起构成北汽双智星矩阵。大家如何评价这款车	未
胖哥汽车频道 wecar说新车 雷克萨斯UX开启预售，预售价格区间为26.99-37.30万。UX 200车型搭载最新的Dynamic Force系列2.0L发动机，最大热效率达41，最大功率170马力，匹配Direct Shift CVT变速箱。UX 260h车型采用了2.0L混动系统，总输出达到178马力。UX 260h车型还带有四驱版本车型，该车型在后桥位置额外增加一个电机实现四驱功能。这个价格，大家怎么看	未
胖哥汽车频道 WEY两周年品牌之夜，两年时间成为20万车主的选择。您认为WEY的前景如何	未
胖哥汽车频道 一只诙谐幽默的大象，抖了个小包袱	未
胖哥汽车频道 北汽新能源旗下高端品牌ARCFOX的旗舰车型ARCFOX-7。由原大众首席设计师沃尔特德席尔瓦主持设计。碳纤维车身强劲电驱系统，0-100km/h的加速时间为2.7秒。据说售价可能高达千万元人民币。（看到这个LOGO，我就想起了一个段子：what does the fox say?大楚兴！陈胜王！）	未
胖哥汽车频道 奥迪Q4谍照，基于MQB平台打造，将在2019年发布，Q4不仅仅是Q3的轿跑版本，它会拥有更多属于自己的独特设计。（图3为奥迪TT offroad概念车)您期待奥迪Q4吗	未
胖哥汽车频道 敢别大公交，勇气可嘉，勇气可嘉啊！	未
胖哥汽车频道 试驾斯柯达柯迪亚克GT的2.0T高功率版（国六），匹配7速双离合。220马力开着也还可以，没觉得劲儿小了。转向手感和底盘都非常大众。就是隔音没有特别好，速度不快风噪和发动机的声音就进来了，好在发动机声音不错，没有招人烦。但是车里聊天声音得稍微大点儿。最满意的是座椅，又厚实又长，软硬也合适。运动档稍微试了一下，感觉还是D档开着舒服总体来说还不错，没有大毛病，也没有什么大亮点，优惠完大概1626万的售价，您觉得如何呢	未
胖哥选车 25万预算，SUV可以接受二手车普拉多途锐撼路者	未
胖哥选车 您好！准备给媳妇买台12一15万的小型紧凑型SUV。目前看对吉普自由侠领克02缤智XR-V或者其他。您给推荐一下！	未
胖哥选车 胖哥，你好，我现在开的是奥迪Q5，想换一辆后排空间大，舒适性高的轿车，平时一个人开，然后会带孩子和老人出去玩，之前关注的有大众辉昂，沃尔沃S90，雷克萨斯ES，感觉性价比都还不错，这三个推荐哪一个或者还有什么推荐车型	未
